Mã,ROA (%),ROE (%),ROS (%)
BHH,,,
BHI,0.4432109623959497,1.5272031062356,0.8910465604906366
BHK,7.225971220461084,11.139971111480351,4.4425045122577
BHN,8.596845901320489,11.51746773088043,8.863878908640329
BHP,1.2219388269091376,1.7172198039445612,1.2936867366209213
BIC,5.122132125969587,12.311825426898421,15.767049947866521
BID,0.4762730302558557,9.069519491927666,
BIG,4.825054930264229,6.630215862770676,3.571247577984904
BII,1.4576526927558942,2.617273822774311,21.328132180929614
BIO,4.900626367961237,5.482992741955418,14.160980823643401
BKC,-5.928525543852797,-17.460860935073324,-10.727064477266293
BKG,4.4710076302236885,5.33822295811792,5.578507177135005
BLF,0.7085183278305339,2.316153157926538,0.7069327650073612
BLI,2.9184694492483296,9.42834544842972,7.101855151209226
